slug,name,category,city,region,source_url,source_owner,manually_reviewed_on,source_freshness,age_min_months,age_max_months,price_band,indoor_outdoor,verification_notes
hoboken-public-library,Hoboken Public Library,library,Hoboken,NJ,https://hobokenlibrary.org,Hoboken Public Library,2026-07-16,manual_source_review,0,96,free,indoor,Verify current childrens programming and branch hours before recommending.
hoboken-pier-c-park,Pier C Park,playground,Hoboken,NJ,https://www.hobokennj.gov/resources/pier-c-park,City of Hoboken,2026-07-16,manual_source_review,12,96,free,outdoor,Verify weather and any temporary park notices before recommending.
hoboken-southwest-resiliency-park,Southwest Resiliency Park,park,Hoboken,NJ,https://www.hobokennj.gov/resources/southwest-resiliency-park,City of Hoboken,2026-07-16,manual_source_review,12,96,free,outdoor,Verify splash or playground availability seasonally before recommending.
jersey-city-free-public-library,Jersey City Free Public Library,library,Jersey City,NJ,https://www.jclibrary.org,Jersey City Free Public Library,2026-07-16,manual_source_review,0,96,free,indoor,Verify selected branch schedule and event age range before recommending.
liberty-state-park,Liberty State Park,park,Jersey City,NJ,https://dep.nj.gov/parksandforests/parks/liberty-state-park/,New Jersey DEP Parks and Forests,2026-07-16,manual_source_review,0,96,free,outdoor,Verify weather parking and any park alerts before recommending.
liberty-science-center,Liberty Science Center,museum,Jersey City,NJ,https://lsc.org,Liberty Science Center,2026-07-16,manual_source_review,24,96,paid,indoor,Verify admission timed tickets and exhibit age fit before recommending.
hamilton-park-jersey-city,Hamilton Park,playground,Jersey City,NJ,https://www.jerseycitynj.gov/cityhall/dpw/parks,Hamilton Park Conservancy and City of Jersey City,2026-07-16,manual_source_review,12,96,free,outdoor,Verify playground status and restroom availability before recommending.
van-vorst-park,Van Vorst Park,playground,Jersey City,NJ,https://www.jerseycitynj.gov/cityhall/dpw/parks,City of Jersey City,2026-07-16,manual_source_review,12,96,free,outdoor,Verify playground status and restroom availability before recommending.
pershing-field-park,Pershing Field Park,park,Jersey City,NJ,https://www.jerseycitynj.gov/cityhall/dpw/parks,City of Jersey City,2026-07-16,manual_source_review,12,96,free,mixed,Verify seasonal facilities and hours before recommending.
weehawken-waterfront-park,Weehawken Waterfront Park,waterfront,Weehawken,NJ,https://www.weehawken-nj.us,Weehawken Township,2026-07-16,manual_source_review,0,96,free,outdoor,Verify parking stroller route and weather before recommending.
overpeck-county-park,Overpeck County Park,park,Leonia,NJ,https://www.co.bergen.nj.us/parks-recreation-areas/overpeck-county-park,Bergen County,2026-07-16,manual_source_review,0,96,free,outdoor,Verify current county park notices and playground details before recommending.
bergen-county-zoo,Bergen County Zoo,zoo,Paramus,NJ,https://www.co.bergen.nj.us/bergen-county-zoo,Bergen County,2026-07-16,manual_source_review,18,96,paid,mixed,Verify admission hours train schedule and weather before recommending.
van-saun-county-park,Van Saun County Park,park,Paramus,NJ,https://www.co.bergen.nj.us/parks-recreation-areas/van-saun-county-park,Bergen County,2026-07-16,manual_source_review,0,96,free,outdoor,Verify playground carousel and train availability before recommending.
tenafly-nature-center,Tenafly Nature Center,park,Tenafly,NJ,https://tenaflynaturecenter.org,Tenafly Nature Center,2026-07-16,manual_source_review,24,96,under_30,outdoor,Verify trail conditions programs and stroller suitability before recommending.
flat-rock-brook,Flat Rock Brook Nature Center,park,Englewood,NJ,https://www.flatrockbrook.org,Flat Rock Brook Nature Association,2026-07-16,manual_source_review,24,96,free,outdoor,Verify trail conditions and nature center hours before recommending.
montclair-art-museum,Montclair Art Museum,museum,Montclair,NJ,https://www.montclairartmuseum.org,Montclair Art Museum,2026-07-16,manual_source_review,36,96,paid,indoor,Verify family programs admission and open galleries before recommending.
montclair-public-library,Montclair Public Library,library,Montclair,NJ,https://montclairlibrary.org,Montclair Public Library,2026-07-16,manual_source_review,0,96,free,indoor,Verify childrens room hours and event registration before recommending.
eagle-rock-reservation,Eagle Rock Reservation,park,West Orange,NJ,https://parks.essexcountynj.org/parks/eagle-rock-reservation,Essex County Parks,2026-07-16,manual_source_review,0,96,free,outdoor,Verify parking trail conditions and weather before recommending.
turtle-back-zoo,Turtle Back Zoo,zoo,West Orange,NJ,https://turtlebackzoo.com,Turtle Back Zoo,2026-07-16,manual_source_review,18,96,paid,mixed,Verify tickets hours and weather before recommending.
south-mountain-reservation,South Mountain Reservation,park,West Orange,NJ,https://parks.essexcountynj.org/parks/south-mountain-reservation,Essex County Parks,2026-07-16,manual_source_review,0,96,free,outdoor,Verify trail route stroller suitability and weather before recommending.
newark-museum-of-art,The Newark Museum of Art,museum,Newark,NJ,https://newarkmuseumart.org,The Newark Museum of Art,2026-07-16,manual_source_review,24,96,paid,indoor,Verify family programming admission and gallery status before recommending.
newark-public-library,Newark Public Library,library,Newark,NJ,https://npl.org,Newark Public Library,2026-07-16,manual_source_review,0,96,free,indoor,Verify branch hours and childrens event age range before recommending.
branch-brook-park,Branch Brook Park,park,Newark,NJ,https://parks.essexcountynj.org/parks/branch-brook-park,Essex County Parks,2026-07-16,manual_source_review,0,96,free,outdoor,Verify seasonal conditions and restroom availability before recommending.
brookdale-park,Brookdale Park,park,Bloomfield,NJ,https://parks.essexcountynj.org/parks/brookdale-park,Essex County Parks,2026-07-16,manual_source_review,0,96,free,outdoor,Verify playground status restroom availability and weather before recommending.
reeves-reed-arboretum,Reeves-Reed Arboretum,park,Summit,NJ,https://reeves-reedarboretum.org,Reeves-Reed Arboretum,2026-07-16,manual_source_review,24,96,unknown,outdoor,Verify admission event registration and stroller route before recommending.
visual-arts-center-of-new-jersey,Visual Arts Center of New Jersey,museum,Summit,NJ,https://www.artcenternj.org,Visual Arts Center of New Jersey,2026-07-16,manual_source_review,48,96,paid,indoor,Verify child class age ranges and registration before recommending.
morris-museum,Morris Museum,museum,Morristown,NJ,https://morrismuseum.org,Morris Museum,2026-07-16,manual_source_review,36,96,paid,indoor,Verify family exhibit suitability hours and admission before recommending.
frelinghuysen-arboretum,Frelinghuysen Arboretum,park,Morristown,NJ,https://www.morrisparks.net/parks_trails/frelinghuysen-arboretum/,Morris County Park Commission,2026-07-16,manual_source_review,0,96,free,outdoor,Verify grounds access and visitor center hours before recommending.
fosterfields-living-historical-farm,Fosterfields Living Historical Farm,farm,Morristown,NJ,https://www.morrisparks.net/parks_trails/fosterfields-living-historical-farm/,Morris County Park Commission,2026-07-16,manual_source_review,24,96,paid,outdoor,Verify seasonal schedule tickets and animal area status before recommending.
great-swamp-outdoor-education-center,Great Swamp Outdoor Education Center,park,Chatham,NJ,https://www.morrisparks.net/parks_trails/great-swamp-outdoor-education-center/,Morris County Park Commission,2026-07-16,manual_source_review,24,96,unknown,mixed,Verify program schedule trail conditions and stroller suitability before recommending.
trailside-nature-science-center,Trailside Nature and Science Center,park,Mountainside,NJ,https://ucnj.org/parks-recreation/trailside-nature-science-center/,Union County,2026-07-16,manual_source_review,24,96,free,mixed,Verify center hours trail conditions and program age range before recommending.
cora-hartshorn-arboretum,Cora Hartshorn Arboretum,park,Short Hills,NJ,https://hartshornarboretum.org,Cora Hartshorn Arboretum,2026-07-16,manual_source_review,24,96,unknown,outdoor,Verify trail conditions and family program registration before recommending.
imagine-that-childrens-museum,Imagine That Childrens Museum,indoor_play,Florham Park,NJ,https://imaginethatmuseum.com,Imagine That,2026-07-16,manual_source_review,12,72,paid,indoor,Verify admission hours and toddler age fit before recommending.
westfield-memorial-library,Westfield Memorial Library,library,Westfield,NJ,https://wmlnj.org,Westfield Memorial Library,2026-07-16,manual_source_review,0,96,free,indoor,Verify childrens event schedule and registration before recommending.
ridgewood-public-library,Ridgewood Public Library,library,Ridgewood,NJ,https://www.ridgewoodlibrary.org,Ridgewood Public Library,2026-07-16,manual_source_review,0,96,free,indoor,Verify childrens room hours and event age range before recommending.
brooklyn-childrens-museum,Brooklyn Childrens Museum,museum,Brooklyn,NY,https://www.brooklynkids.org,Brooklyn Childrens Museum,2026-07-16,manual_source_review,6,96,paid,indoor,Verify admission hours and exhibit availability before recommending.
childrens-museum-of-manhattan,Childrens Museum of Manhattan,museum,New York,NY,https://cmom.org,Childrens Museum of Manhattan,2026-07-16,manual_source_review,6,96,paid,indoor,Verify timed entry and current exhibits before recommending.
american-museum-natural-history,American Museum of Natural History,museum,New York,NY,https://www.amnh.org,American Museum of Natural History,2026-07-16,manual_source_review,24,96,paid,indoor,Verify tickets entrance logistics and family exhibit fit before recommending.
bronx-zoo,Bronx Zoo,zoo,Bronx,NY,https://bronxzoo.com,Bronx Zoo,2026-07-16,manual_source_review,18,96,paid,mixed,Verify tickets hours and weather before recommending.
central-park-zoo,Central Park Zoo,zoo,New York,NY,https://centralparkzoo.com,Central Park Zoo,2026-07-16,manual_source_review,18,96,paid,mixed,Verify tickets hours and weather before recommending.
queens-zoo,Queens Zoo,zoo,Queens,NY,https://queenszoo.com,Queens Zoo,2026-07-16,manual_source_review,18,96,paid,mixed,Verify tickets hours and weather before recommending.
prospect-park-zoo,Prospect Park Zoo,zoo,Brooklyn,NY,https://prospectparkzoo.com,Prospect Park Zoo,2026-07-16,manual_source_review,18,96,paid,mixed,Verify tickets hours and weather before recommending.
new-york-aquarium,New York Aquarium,zoo,Brooklyn,NY,https://nyaquarium.com,New York Aquarium,2026-07-16,manual_source_review,18,96,paid,mixed,Verify tickets hours and exhibit status before recommending.
brooklyn-bridge-park,Brooklyn Bridge Park,waterfront,Brooklyn,NY,https://www.brooklynbridgepark.org,Brooklyn Bridge Park,2026-07-16,manual_source_review,0,96,free,outdoor,Verify weather pier access and playground status before recommending.
prospect-park,Prospect Park,park,Brooklyn,NY,https://www.prospectpark.org,Prospect Park Alliance,2026-07-16,manual_source_review,0,96,free,outdoor,Verify weather restroom location and any park alerts before recommending.
central-park,Central Park,park,New York,NY,https://www.centralparknyc.org,Central Park Conservancy,2026-07-16,manual_source_review,0,96,free,outdoor,Verify playground choice weather and restroom access before recommending.
riverside-park,Riverside Park,park,New York,NY,https://riversideparknyc.org,Riverside Park Conservancy,2026-07-16,manual_source_review,0,96,free,outdoor,Verify playground location weather and stroller route before recommending.
battery-playscape,Battery Playscape,playground,New York,NY,https://www.thebattery.org,Battery Conservancy,2026-07-16,manual_source_review,12,96,free,outdoor,Verify playground status weather and restroom access before recommending.
governors-island,Governors Island,park,New York,NY,https://www.govisland.com,Trust for Governors Island,2026-07-16,manual_source_review,0,96,unknown,outdoor,Verify ferry schedule seasonal access and weather before recommending.
hudson-river-park,Hudson River Park,waterfront,New York,NY,https://hudsonriverpark.org,Hudson River Park Trust,2026-07-16,manual_source_review,0,96,free,outdoor,Verify pier selection weather and restroom access before recommending.
little-island,Little Island,park,New York,NY,https://littleisland.org,Little Island,2026-07-16,manual_source_review,0,96,free,outdoor,Verify entry requirements events and weather before recommending.
domino-park,Domino Park,waterfront,Brooklyn,NY,https://www.dominopark.com,Domino Park,2026-07-16,manual_source_review,0,96,free,outdoor,Verify playground and water feature availability before recommending.
pier-57,Market 57 and Rooftop Park,waterfront,New York,NY,https://pier57nyc.com,Pier 57,2026-07-16,manual_source_review,0,96,free,mixed,Verify indoor food hall hours rooftop access and crowd suitability before recommending.
high-line,The High Line,park,New York,NY,https://www.thehighline.org,The High Line,2026-07-16,manual_source_review,0,96,free,outdoor,Verify stroller elevator access weather and crowd expectations before recommending.
brooklyn-botanic-garden,Brooklyn Botanic Garden,park,Brooklyn,NY,https://www.bbg.org,Brooklyn Botanic Garden,2026-07-16,manual_source_review,0,96,paid,outdoor,Verify admission hours and stroller route before recommending.
new-york-hall-of-science,New York Hall of Science,museum,Queens,NY,https://nysci.org,New York Hall of Science,2026-07-16,manual_source_review,24,96,paid,indoor,Verify exhibit status admission and age fit before recommending.
staten-island-childrens-museum,Staten Island Childrens Museum,museum,Staten Island,NY,https://www.sichildrensmuseum.org,Staten Island Childrens Museum,2026-07-16,manual_source_review,12,96,paid,indoor,Verify admission hours and exhibit availability before recommending.
queens-botanical-garden,Queens Botanical Garden,park,Queens,NY,https://queensbotanical.org,Queens Botanical Garden,2026-07-16,manual_source_review,0,96,unknown,outdoor,Verify admission season and stroller route before recommending.
socrates-sculpture-park,Socrates Sculpture Park,park,Queens,NY,https://socratessculpturepark.org,Socrates Sculpture Park,2026-07-16,manual_source_review,0,96,free,outdoor,Verify weather current exhibition and restroom access before recommending.
wave-hill,Wave Hill,park,Bronx,NY,https://www.wavehill.org,Wave Hill,2026-07-16,manual_source_review,0,96,paid,outdoor,Verify admission hours and stroller route before recommending.
new-york-transit-museum,New York Transit Museum,museum,Brooklyn,NY,https://www.nytransitmuseum.org,New York Transit Museum,2026-07-16,manual_source_review,24,96,paid,indoor,Verify admission hours stroller policy and exhibit access before recommending.
sugar-hill-childrens-museum,Sugar Hill Childrens Museum,museum,New York,NY,https://www.sugarhillmuseum.org,Sugar Hill Childrens Museum,2026-07-16,manual_source_review,24,96,paid,indoor,Verify hours programming and age fit before recommending.
staten-island-zoo,Staten Island Zoo,zoo,Staten Island,NY,https://www.statenislandzoo.org,Staten Island Zoo,2026-07-16,manual_source_review,18,96,paid,mixed,Verify tickets hours and weather before recommending.
queens-museum,Queens Museum,museum,Queens,NY,https://queensmuseum.org,Queens Museum,2026-07-16,manual_source_review,36,96,unknown,indoor,Verify family program schedule admission and open galleries before recommending.
brooklyn-public-library-central,Brooklyn Public Library Central Library,library,Brooklyn,NY,https://www.bklynlibrary.org/locations/central,Brooklyn Public Library,2026-07-16,manual_source_review,0,96,free,indoor,Verify childrens room hours and event age range before recommending.
nypl-stavros-niarchos-foundation-library,Stavros Niarchos Foundation Library,library,New York,NY,https://www.nypl.org/locations/snfl,New York Public Library,2026-07-16,manual_source_review,0,96,free,indoor,Verify childrens programming and branch hours before recommending.
nypl-53rd-street-library,53rd Street Library,library,New York,NY,https://www.nypl.org/locations/53rd-street,New York Public Library,2026-07-16,manual_source_review,0,96,free,indoor,Verify branch hours and family program schedule before recommending.
queens-public-library-flushing,Queens Public Library at Flushing,library,Queens,NY,https://www.queenslibrary.org/about-us/locations/Flushing,Queens Public Library,2026-07-16,manual_source_review,0,96,free,indoor,Verify branch hours and family program age range before recommending.
brooklyn-public-library-brooklyn-heights,Brooklyn Heights Library,library,Brooklyn,NY,https://www.bklynlibrary.org/locations/brooklyn-heights,Brooklyn Public Library,2026-07-16,manual_source_review,0,96,free,indoor,Verify branch hours and childrens area availability before recommending.
